Time	Mean	Median	Upper	Lower
2019.0	86967.20859315839	82205.2642366592	494506.09663449187	17081.215461152664
2018.0	74052.71524732756	70629.07457710235	305392.55987024505	19090.182209201903
2017.0	67432.99952901897	66229.43042505773	222024.73965510045	19980.109215315537
2016.0	73777.39989787011	72360.73266160705	241541.2517208035	26476.067300265524
2015.0	74709.1858501945	73417.17615480637	181661.42690061557	30110.41283816249
2014.0	69634.82461595377	68105.92591316576	159766.32970800443	31807.185959229704
2013.0	53931.669290692604	53314.79089741159	104315.69629232661	27611.146402172388
2012.0	65629.06965611999	64404.35310112602	133575.8012592557	34566.061090482704
2011.0	67098.35975020469	66036.60045830997	128162.28887770206	34682.04031021319
2010.0	70439.6418817183	68956.35896744873	147037.6354133643	35897.36848476787
2009.0	65671.11772368308	64395.723515879115	135573.19971664093	33060.51386989075
2008.0	68953.96687925997	67758.05200051013	146817.07491849473	34168.46105660202
2007.0	81361.61688175616	79521.12092524291	179585.60530495067	39417.131763751764
2006.0	92015.54143985943	89816.20893630639	208955.8954096894	44411.940636702144
2005.0	81029.12677946786	79145.01664922189	188510.92398943426	37528.06109054766
2004.0	57065.99510156719	56061.19126264066	122703.85401665365	28569.889396854716
2003.0	42381.46820867917	41598.67516961817	83947.63602248108	21228.46941123937
2002.0	37342.44385145307	36393.03123104855	77021.69503127226	19226.95686554492
2001.0	29454.432588436055	28825.03587985803	57977.67259503562	15230.201605378637
2000.0	16778.28923257212	16416.726183001207	30710.400575965225	9411.644874776192
1999.0	10772.05880169707	10579.948522725621	19029.118316844833	6272.544319662591
1998.0	7091.069969530637	6966.118346240794	11993.26644250117	4402.024717496053
1997.0	4330.878345290691	4273.738250227608	6722.560696558427	2824.2272838279014
1996.0	3320.4231546906612	3260.047725846929	5329.244155454111	2217.980237884123
1995.0	2132.178130064884	2106.5572933093654	3127.244511184815	1501.506165202084
1994.0	1452.4104730316762	1440.9314263315673	2053.151229449692	1060.5774612733173
1993.0	897.3504578849811	889.8073943690914	1237.1974621740176	651.9479830317695
1992.0	557.045038324812	554.7051166819755	770.0350703651735	413.5044126720395
1991.0	433.7955407746745	430.5893100245513	627.0413630079682	307.3755062657797
1990.0	303.10685872397676	300.4274531053639	460.8632426339102	206.86743081825446
1989.0	183.4980208920557	182.18287869482765	286.39389239665877	123.44915122087875
1988.0	117.38238451679054	116.1413388493733	199.4056010589053	72.25680690736093
1987.0	54.05351938022219	54.05793247775964	90.9685763433502	30.112842478928293
1986.0	24.44646446670368	24.468387105801096	44.55547206896811	12.496560754349439
1985.0	12.444165106505643	12.414053591728122	25.684905434806176	6.38102712821479
1984.0	8.04956871502569	8.116857361587149	20.10180831473225	2.9206456906484797
1983.0	4.042128674153184	4.132437183720278	12.098522802432093	1.2233713058039972
1982.0	2.4672846342086796	2.544914128046868	10.5154944761414	0.5682728983402591
1981.0	1.966228198013223	1.9865600792448492	12.355997123251834	0.3500013289438089
1980.0	1.909160548123106	1.9622645839511548	15.609360067106516	0.21108780192181487
