Date,sampleSize
2011-01-17,1
2011-01-20,2
2011-02-15,1
2011-03-25,1
2011-04-08,1
2011-04-21,1
2011-04-29,1
2011-05-06,1
2011-05-09,1
2011-05-13,2
2011-05-16,1
2011-05-20,1
2011-06-02,1
2011-06-14,1
2011-06-29,1
2011-07-08,1
2011-07-15,2
2011-07-19,2
2011-07-21,10
2011-07-25,7
2011-07-26,5
2011-07-27,1
2011-07-28,3
2011-08-01,5
2011-08-02,5
2011-08-16,1
2011-08-22,1
2011-08-26,1
2011-09-09,1
2011-09-15,1
2011-09-21,1
2011-09-22,3
2011-09-27,1
2011-09-28,3
2011-10-04,1
2011-10-18,3
2011-10-21,2
2011-10-28,1
2011-11-14,1
2011-11-16,1
2011-11-18,1
2011-12-06,1
2011-12-07,2
2011-12-08,2
2011-12-14,7
2011-12-15,2
2012-01-11,1
2012-01-12,1
2012-01-18,1
2012-01-24,1
2012-02-13,1
2012-02-14,1
2012-02-16,2
2012-03-05,1
2012-03-08,1
2012-03-23,2
2012-03-29,2
2012-03-30,1
2012-04-18,1
2012-04-26,2
2012-05-03,2
2012-05-10,1
2012-05-11,1
2012-05-23,2
2012-05-25,1
2012-05-31,2
2012-06-06,1
2012-06-14,1
2012-06-15,3
2012-06-19,2
2012-06-20,2
2012-06-21,4
2012-06-22,2
2012-06-25,1
2012-06-28,1
2012-07-03,1
2012-07-05,1
2012-07-06,2
2012-07-12,1
2012-07-13,2
2012-07-20,2
2012-07-23,1
2012-07-27,1
2012-08-01,2
2012-08-07,1
2012-08-10,1
2012-08-14,1
2012-08-16,1
2012-08-17,4
2012-08-23,2
2012-08-29,1
2012-08-31,2
2012-09-06,1
2012-09-11,1
2012-09-13,1
2012-09-18,1
2012-09-19,2
2012-09-20,1
2012-09-21,3
2012-09-26,3
2012-09-27,3
2012-09-28,2
2012-10-03,3
2012-10-05,1
2012-10-09,1
2012-10-10,1
2012-10-11,4
2012-10-12,2
2012-10-17,1
2012-10-18,1
2012-10-19,1
2012-10-24,2
2012-10-25,2
2012-10-26,2
2012-11-02,1
2012-11-08,1
2012-11-09,1
2012-11-12,1
2012-11-14,3
2012-11-19,1
2012-11-22,1
2012-11-23,1
2012-11-30,1
2012-12-05,1
2012-12-10,1
2012-12-12,1
2012-12-19,1
2013-01-10,1
2013-02-01,1
2013-02-04,1
2013-02-06,2
2013-02-07,2
2013-02-11,1
2013-02-13,1
2013-02-22,1
2013-02-26,1
2013-02-28,1
2013-03-04,2
2013-03-06,1
2013-03-07,1
2013-03-11,2
2013-03-12,1
2013-03-13,2
2013-03-14,1
2013-03-15,1
2013-03-18,1
2013-03-22,2
2013-04-02,1
2013-04-03,1
2013-04-08,1
2013-04-12,1
2013-04-15,1
2013-04-16,2
2013-04-17,1
2013-04-18,1
2013-04-19,2
2013-04-23,1
2013-04-29,1
2013-05-02,2
2013-05-07,2
2013-05-09,2
2013-05-14,1
2013-05-16,3
2013-05-23,1
2013-05-24,4
2013-05-29,3
2013-05-30,6
2013-06-03,3
2013-06-10,2
2013-06-14,1
2013-06-19,1
2013-06-21,1
2013-06-25,2
2013-06-26,1
2013-06-27,4
2013-06-28,2
2013-07-04,1
2013-07-05,1
2013-07-12,1
2013-07-16,1
2013-07-19,1
2013-07-26,1
2013-07-29,1
2013-08-02,2
2013-08-07,2
2013-08-16,1
2013-08-19,6
2013-08-21,1
2013-08-22,2
2013-08-23,1
2013-08-27,1
2013-09-06,1
2013-09-12,2
2013-09-13,2
2013-09-20,2
2013-10-10,3
2013-10-11,2
2013-10-17,2
2013-10-22,1
2013-10-24,2
2013-10-25,2
2013-10-28,3
2013-10-29,3
2013-10-31,1
2013-11-01,2
2013-11-07,3
2013-11-08,1
2013-11-12,1
2013-11-14,1
2013-11-15,1
2013-11-21,2
2013-11-22,1
2013-11-25,2
2013-11-27,3
2013-11-29,1
2013-12-02,2
2013-12-03,1
2013-12-05,1
2014-01-04,1
2014-01-14,1
2014-01-16,1
2014-01-24,1
2014-01-29,1
2014-01-30,1
2014-02-13,1
2014-02-18,1
2014-02-20,2
2014-02-27,1
2014-03-06,1
2014-03-10,1
2014-03-17,1
2014-03-19,1
2014-03-31,1
2014-04-07,1
2014-04-08,1
2014-04-22,1
2014-05-05,1
2014-05-08,3
2014-05-14,1
2014-05-15,3
2014-05-22,3
2014-05-23,1
2014-05-29,1
2014-06-05,1
2014-06-06,1
2014-06-09,1
2014-06-12,1
2014-06-18,1
2014-06-19,1
2014-06-20,1
2014-06-24,2
2014-06-25,2
2014-06-26,3
2014-06-28,1
2014-06-30,1
2014-07-03,1
2014-07-08,2
2014-07-10,2
2014-07-17,1
2014-07-21,1
2014-07-22,1
2014-07-23,1
2014-07-24,3
2014-07-29,1
2014-07-31,3
2014-08-02,1
2014-08-11,1
2014-08-13,1
2014-08-14,2
2014-08-18,1
2014-08-19,2
2014-08-20,2
2014-08-21,1
2014-08-22,1
2014-08-26,1
2014-08-27,2
2014-08-28,2
2014-08-29,1
2014-08-30,1
2014-09-02,2
2014-09-04,2
2014-09-05,1
2014-09-11,1
2014-09-15,8
2014-09-16,2
2014-09-17,2
2014-09-18,10
2014-09-22,1
2014-09-23,1
2014-09-25,3
2014-09-29,1
2014-09-30,1
2014-10-02,1
2014-10-06,1
2014-10-07,1
2014-10-08,2
2014-10-09,4
2014-10-16,1
2014-10-30,1
2014-11-03,1
2014-11-05,1
2014-11-06,3
2014-11-11,1
2014-11-12,2
2014-11-13,4
2014-11-19,1
2014-11-20,3
2014-11-21,1
2014-11-24,2
2014-11-25,1
2014-11-27,1
2015-01-15,2
2015-01-16,1
