Date,sampleSize
2004-01-09,1
2004-04-13,1
2004-06-29,1
2005-01-12,1
2005-02-08,1
2005-02-11,1
2005-02-12,2
2005-03-11,1
2005-03-15,1
2005-04-04,1
2005-04-08,1
2005-04-11,1
2005-05-08,1
2005-05-10,1
2005-05-24,1
2005-06-09,1
2005-06-22,1
2005-06-27,1
2005-07-09,2
2005-07-10,2
2005-07-12,1
2005-07-29,1
2005-08-15,1
2005-08-23,1
2005-08-30,1
2005-09-06,1
2005-09-14,2
2005-09-15,1
2005-09-21,1
2005-09-28,1
2005-10-14,2
2005-10-19,1
2005-10-24,2
2005-10-27,1
2005-11-11,1
2005-11-14,2
2005-11-15,1
2005-11-16,2
2005-11-17,1
2005-11-24,2
2005-12-10,1
2005-12-14,5
2005-12-16,1
2005-12-19,1
2005-12-21,1
2005-12-23,1
2006-01-13,2
2006-01-16,2
2006-01-18,1
2006-01-25,1
2006-01-31,2
2006-02-06,1
2006-02-13,3
2006-02-16,1
2006-03-02,1
2006-03-05,1
2006-03-08,2
2006-03-13,2
2006-04-07,1
2006-04-08,2
2006-04-18,1
2006-04-20,1
2006-04-25,2
2006-04-27,2
2006-05-02,1
2006-05-07,1
2006-05-12,1
2006-05-18,1
2006-05-23,1
2006-05-26,1
2006-05-31,2
2006-06-07,1
2006-06-11,1
2006-06-13,3
2006-06-21,1
2006-06-27,1
2006-06-30,1
2006-07-21,2
2006-07-24,1
2006-07-25,1
2006-07-26,1
2006-08-02,1
2006-08-03,1
2006-08-06,1
2006-08-08,1
2006-08-11,1
2006-08-12,1
2006-10-02,1
2006-10-10,1
2006-11-01,1
2006-11-04,1
2006-11-12,1
2006-11-14,1
2006-11-16,1
2006-11-21,2
2006-11-28,1
2006-12-01,1
2006-12-05,2
2006-12-06,1
2006-12-07,2
2006-12-10,1
2006-12-12,1
2006-12-13,1
2006-12-15,1
2006-12-18,1
2006-12-19,1
2006-12-20,1
2006-12-21,1
2007-01-11,1
2007-01-15,1
2007-01-16,1
2007-01-22,2
2007-02-11,1
2007-02-19,1
2007-02-21,1
2007-03-12,1
2007-03-13,2
2007-04-01,1
2007-04-04,1
2007-04-05,1
2007-04-07,1
2007-04-09,2
2007-04-10,2
2007-05-02,1
2007-05-03,1
2007-05-04,1
2007-05-06,4
2007-05-07,1
2007-05-09,1
2007-05-10,2
2007-05-16,1
2007-05-21,1
2007-05-23,1
2007-05-24,2
2007-06-03,1
2007-06-06,2
2007-06-11,2
2007-06-13,2
2007-06-15,1
2007-07-13,1
2007-07-18,2
2007-07-26,1
2007-08-01,1
2007-08-02,1
2007-08-05,3
2007-08-16,1
2007-08-31,2
2007-09-08,1
2007-09-13,1
2007-09-18,1
2007-09-19,1
2007-09-25,1
2007-09-27,1
2007-10-04,1
2007-10-05,1
2007-10-06,1
2007-10-08,1
2007-10-09,1
2007-10-15,2
2007-10-17,1
2007-10-18,1
2007-10-19,1
2007-10-22,1
2007-10-23,1
2007-10-24,1
2007-11-04,2
2007-11-05,1
2007-11-06,1
2007-11-13,1
2007-11-22,1
2007-11-29,1
2007-12-01,2
2007-12-02,2
2007-12-03,1
2007-12-10,2
2007-12-13,1
2008-01-04,1
2008-02-09,1
2008-02-25,1
2008-03-06,1
2008-03-09,1
2008-03-12,1
2008-03-17,1
2008-03-18,1
2008-03-19,1
2008-03-20,1
2008-03-25,2
2008-03-26,1
2008-04-06,1
2008-04-09,1
2008-04-24,1
2008-06-02,1
2008-06-05,1
2008-06-16,1
2008-06-17,1
2008-07-11,1
2008-07-24,1
2008-08-04,2
2008-08-05,1
2008-08-13,1
2008-08-14,1
2008-08-22,1
2008-09-15,1
2008-09-22,1
2008-09-25,1
2008-10-20,1
2008-12-03,1
2008-12-04,1
2008-12-17,1
2009-03-13,1
2009-03-26,2
2009-05-03,1
2009-06-01,1
2009-10-03,1
2009-10-12,1
2010-01-01,1
2010-01-12,3
2010-01-22,1
2010-01-27,1
2010-01-28,1
2010-02-03,1
2010-02-22,1
2010-03-04,1
2010-03-11,5
2010-03-16,1
2010-04-03,1
2010-04-08,1
2010-05-08,2
2010-06-04,1
2010-06-07,1
2010-06-10,1
2010-06-16,2
2010-06-17,9
2010-06-18,3
2010-06-22,3
2010-07-01,1
2010-07-04,1
2010-07-07,2
2010-07-12,4
2010-07-22,2
2010-07-28,2
2010-08-16,2
2010-09-02,1
2010-09-12,3
2010-10-02,1
2010-10-03,1
2010-10-12,1
2010-10-25,1
2010-11-06,1
2010-11-11,5
2010-11-15,6
2010-11-18,7
2010-11-19,5
2010-11-23,1
2010-11-24,4
2010-12-02,1
2010-12-09,1
2010-12-18,1
2011-01-20,4
2011-01-26,3
2011-01-31,1
2011-02-03,1
2011-02-07,1
2011-02-08,2
2011-02-09,2
2011-02-16,4
2011-02-17,1
2011-02-21,4
2011-02-24,7
2011-02-25,1
2011-03-03,2
2011-03-06,1
2011-03-17,1
2011-04-12,4
2011-04-13,1
2011-04-14,1
2011-04-20,1
2011-04-21,3
2011-04-28,1
2011-05-04,6
2011-05-10,1
2011-05-12,1
2011-05-16,2
2011-06-04,2
2011-06-07,1
2011-06-17,1
2011-07-04,1
2011-08-02,1
2011-08-30,1
2011-10-01,2
2011-12-01,1
2011-12-04,3
2012-01-03,1
2012-03-01,1
2012-03-12,1
2012-04-22,6
2012-04-23,4
2012-05-12,1
2012-05-18,3
2012-05-23,2
2012-06-03,2
2012-07-03,3
2012-08-09,1
2012-09-13,3
2012-09-24,3
2012-09-28,3
2012-10-09,1
2012-10-18,1
2012-10-24,2
2012-11-16,1
2012-12-03,1
2013-02-18,1
2013-02-19,1
2013-02-25,1
2013-03-04,2
2013-03-05,1
2013-03-07,1
2013-03-25,1
2013-04-15,1
2013-04-22,3
2013-04-30,2
2013-06-20,1
2013-11-07,1
2013-11-14,1
2013-11-15,1
2013-11-22,1
2014-04-10,1
2014-04-14,1
2014-04-23,1
2014-04-27,2
2014-04-29,1
2014-05-09,1
2014-05-28,1
2014-09-04,2
2014-09-06,1
2014-09-11,2
2014-09-12,1
2014-09-18,1
2014-09-23,1
2014-10-03,2
2014-11-14,1
2015-01-02,1
2015-01-03,19
2015-01-21,5
2015-01-23,2
2015-01-24,1
2015-01-27,1
2015-01-28,2
2015-01-29,2
2015-01-31,2
2015-02-01,1
2015-02-02,1
2015-02-04,1
2015-02-06,1
2015-02-11,1
2015-02-12,1
2015-02-13,2
2015-02-14,2
2015-02-15,2
2015-02-18,2
2015-02-19,1
2015-02-21,4
2015-02-25,1
2015-02-26,1
2015-02-27,1
2015-02-28,1
2015-03-01,10
2015-03-02,3
2015-03-03,1
2015-03-19,1
2015-03-30,1
2015-03-31,1
2015-05-20,1
2015-07-02,1
2015-08-15,1
2015-08-18,1
2015-09-04,1
2015-09-18,1
2015-09-28,1
2015-12-08,2
