Date,sampleSize
2007-01-24,1
2007-05-23,1
2007-06-13,1
2007-08-16,1
2007-10-31,1
2007-11-10,1
2007-12-17,1
2007-12-20,1
2008-01-09,1
2008-01-17,1
2008-02-25,2
2008-11-20,2
2008-12-12,1
2009-02-06,2
2009-02-12,1
2009-03-06,1
2009-03-18,4
2009-03-20,1
2009-03-25,3
2009-03-31,1
2009-04-01,4
2009-04-02,1
2009-04-06,1
2009-04-08,1
2009-04-14,1
2009-04-20,2
2009-04-21,4
2009-04-23,1
2009-04-28,3
2009-04-29,1
2009-05-05,4
2009-05-11,1
2009-05-12,2
2009-05-13,2
2009-05-14,1
2009-05-20,2
2009-05-26,1
2009-05-28,3
2009-06-02,2
2009-06-04,1
2009-06-16,1
2009-06-22,1
2009-07-04,2
2009-07-15,5
2009-07-16,2
2009-08-04,1
2009-08-10,1
2009-09-02,1
2009-09-04,2
2009-09-09,1
2009-09-21,1
2009-09-29,1
2009-10-15,4
2009-10-16,1
2009-10-20,1
2009-10-23,1
2009-10-26,1
2009-10-27,2
2009-10-28,3
2009-10-29,2
2009-11-03,2
2009-11-04,1
2009-11-05,1
2009-11-06,1
2009-11-18,1
2009-11-19,2
2009-11-20,1
2009-11-23,1
2009-11-24,2
2009-11-26,2
2009-12-02,2
2009-12-05,1
2009-12-10,1
2009-12-11,1
2009-12-14,3
2010-01-06,1
2010-01-07,1
2010-02-11,1
2010-02-17,1
2010-02-18,1
2010-02-24,1
2010-02-25,1
2010-03-16,1
2010-04-12,1
2010-04-13,1
2010-04-27,1
2010-04-28,1
2010-05-05,2
2010-05-08,1
2010-05-27,1
2010-06-04,1
2010-07-09,1
2010-08-16,1
2010-08-25,1
2010-09-08,1
2010-09-20,1
2010-11-18,1
2010-12-06,1
2012-02-05,12
2012-04-06,3
2012-04-16,1
2012-05-02,14
2012-05-17,1
2012-06-04,5
2012-06-08,2
2012-06-11,1
2012-06-15,1
2012-06-19,5
2012-06-27,22
2012-08-06,3
2012-11-06,1
2012-11-13,2
2012-12-04,1
2012-12-13,1
2012-12-18,1
2012-12-19,1
2013-01-07,1
2013-01-08,1
2013-01-09,1
2013-01-15,1
2013-01-28,1
2013-01-31,1
2013-02-05,1
2013-02-06,2
2013-02-07,3
2013-02-10,1
2013-02-12,3
2013-02-13,1
2013-02-19,1
2013-03-04,1
2013-03-19,2
2013-03-27,1
2013-04-03,1
2013-04-04,1
2013-04-07,1
2013-04-10,2
2013-04-18,1
2013-04-29,1
2013-04-30,2
2013-05-03,1
2013-05-06,1
2013-05-10,1
2013-05-11,1
2013-05-12,2
2013-05-16,1
2013-05-21,3
2013-05-23,2
2013-05-28,3
2013-05-29,1
2013-05-30,5
2013-06-05,1
2013-06-06,2
2013-06-11,1
2013-06-12,3
2013-06-13,2
2013-06-17,1
2013-06-19,1
2013-06-24,1
2013-06-25,1
2013-06-26,1
2013-06-27,2
2013-06-28,1
2013-07-01,1
2013-07-02,2
2013-07-04,1
2013-07-09,1
2013-07-12,1
2013-07-15,2
2013-07-22,1
2013-07-29,2
2013-07-30,1
2013-07-31,2
2013-08-01,1
2013-08-13,2
2013-08-14,2
2013-08-15,2
2013-08-21,2
2013-09-02,1
2013-09-05,2
2013-09-11,1
2013-09-12,2
2013-09-16,1
2013-09-18,2
2013-09-24,1
2013-09-25,1
2013-09-26,2
2013-09-30,1
2013-10-06,1
2013-10-07,2
2013-10-08,1
2013-10-12,1
2013-10-17,1
2013-10-22,1
2013-10-28,3
2013-10-29,2
2013-10-30,2
2013-11-03,1
2013-11-09,1
2013-11-11,1
2013-11-14,1
2013-11-18,2
2013-11-19,1
2013-11-21,2
2013-11-22,4
2013-11-25,9
2013-11-26,9
2013-11-27,2
2013-11-28,6
2013-12-02,2
2013-12-04,1
2013-12-05,4
2013-12-06,4
2013-12-08,1
2013-12-09,1
2013-12-10,2
2013-12-11,2
2013-12-12,1
2013-12-16,1
2013-12-19,1
2014-01-09,1
2014-01-18,2
2014-01-23,1
2014-01-27,1
2014-01-28,1
2014-01-30,1
2014-02-01,3
2014-02-04,2
2014-02-13,1
2014-02-19,1
2014-02-27,1
2014-03-01,1
2014-03-03,1
2014-03-18,2
2014-03-20,1
2014-03-31,2
2014-04-15,1
2014-05-02,1
2014-05-07,1
2014-05-13,1
2014-08-04,1
2014-10-02,1
2014-10-06,1
2014-11-03,1
2014-12-03,1
2015-01-09,1
2015-01-29,1
2015-02-06,1
2015-02-27,1
2015-03-13,1
2015-03-18,1
2015-03-19,1
2015-03-20,1
2015-04-01,1
2015-04-23,4
2015-04-30,1
2015-05-06,2
2015-05-08,1
2015-05-10,1
2015-05-13,2
2015-05-14,1
2015-05-15,3
2015-05-18,3
2015-05-20,1
2015-05-26,2
2015-05-27,1
2015-06-02,3
2015-06-10,1
2015-06-16,1
2015-06-18,1
2015-06-24,1
2015-07-05,2
2015-07-15,1
2015-07-16,1
2015-08-04,1
2015-08-05,2
2015-08-11,1
2015-08-18,2
2015-08-19,1
2015-08-27,1
2015-09-02,1
2015-09-08,1
2015-09-14,2
2015-09-17,2
2015-09-21,1
2015-09-22,2
2015-09-23,1
2015-09-28,1
2015-09-30,1
2015-10-06,2
2015-10-13,1
2015-10-14,1
2015-10-15,4
2015-10-19,1
2015-10-20,3
2015-10-21,2
2015-10-30,1
2015-12-30,1
2016-02-02,3
2016-02-03,2
2016-02-04,1
2016-05-02,1
