Date,sampleSize
2005-03-08,1
2005-04-09,1
2005-04-30,1
2005-05-09,1
2005-07-30,1
2005-08-08,1
2005-08-29,1
2005-10-16,1
2005-10-21,1
2005-11-02,1
2005-11-12,1
2005-12-29,1
2006-01-21,1
2006-03-09,1
2006-03-19,1
2006-03-27,1
2006-03-29,1
2006-04-03,1
2006-04-04,1
2006-04-10,1
2006-04-18,1
2006-05-01,1
2006-05-12,1
2006-05-30,1
2006-06-01,1
2006-06-10,1
2006-06-19,1
2006-07-11,2
2006-07-31,1
2006-08-04,1
2006-08-08,1
2006-08-16,1
2006-08-18,1
2006-08-21,1
2006-08-26,1
2006-09-18,1
2006-09-21,1
2006-09-28,1
2006-10-04,1
2006-10-13,1
2006-10-19,1
2006-10-27,1
2006-11-02,1
2006-11-14,1
2006-11-18,2
2006-11-24,1
2007-01-16,1
2007-04-10,1
2007-05-18,1
2007-05-28,1
2007-06-06,1
2007-06-08,1
2007-06-12,1
2007-06-14,1
2007-06-15,1
2007-07-26,1
2007-08-07,1
2007-08-24,1
2007-08-26,1
2007-09-19,1
2007-09-27,1
2007-10-15,1
2007-11-02,1
2007-11-09,1
2007-11-13,1
2007-11-20,1
2007-11-26,1
2007-11-27,1
2007-12-07,1
2007-12-12,1
2007-12-14,1
2007-12-20,1
2008-02-11,1
2008-06-12,1
