Date,sampleSize
2005-01-09,1
2005-04-13,1
2005-04-14,1
2005-06-29,1
2005-08-15,1
2005-08-25,1
2005-08-30,1
2005-08-31,1
2005-09-16,1
2005-09-22,1
2005-09-26,2
2005-09-29,1
2005-10-11,1
2005-10-13,1
2005-10-22,1
2005-11-03,1
2005-11-10,1
2005-11-14,2
2005-11-17,1
2005-11-18,2
2005-11-29,1
2005-11-30,1
2005-12-01,1
2005-12-07,1
2005-12-10,1
2005-12-13,2
2005-12-16,1
2005-12-19,2
2005-12-20,1
2006-01-03,1
2006-01-04,1
2006-01-08,1
2006-01-09,1
2006-01-12,1
2006-01-13,1
2006-01-14,1
2006-01-24,1
2006-01-26,2
2006-01-27,1
2006-01-30,1
2006-02-02,1
2006-02-03,1
2006-02-05,1
2006-02-06,1
2006-02-10,1
2006-02-14,2
2006-02-17,1
2006-02-20,1
2006-02-21,1
2006-03-03,1
2006-03-13,1
2006-03-15,1
2006-03-23,1
2006-03-28,1
2006-03-31,1
2006-04-01,1
2006-04-03,1
2006-04-13,2
2006-04-21,1
2006-04-25,1
2006-04-27,1
2006-04-28,1
2006-04-29,1
2006-05-02,1
2006-05-04,1
2006-05-06,1
2006-05-08,1
2006-05-10,3
2006-05-11,1
2006-05-24,1
2006-05-25,1
2006-05-29,1
2006-05-31,1
2006-06-01,1
2006-06-03,2
2006-06-08,3
2006-06-09,1
2006-06-15,2
2006-06-17,1
2006-06-21,1
2006-06-22,2
2006-06-23,1
2006-06-29,1
2006-07-05,2
2006-07-06,1
2006-07-11,1
2006-07-13,1
2006-07-14,1
2006-07-28,1
2006-07-29,1
2006-07-31,1
2006-08-01,2
2006-08-03,1
2006-08-08,1
2006-08-09,1
2006-08-10,1
2006-08-11,2
2006-08-14,1
2006-08-15,1
2006-08-16,1
2006-08-17,1
2006-08-18,1
2006-08-30,1
2006-09-01,1
2006-09-02,1
2006-09-04,1
2006-09-06,1
2006-09-07,1
2006-09-08,2
2006-09-12,1
2006-09-14,1
2006-09-20,1
2006-09-21,1
2006-09-25,1
2006-09-26,2
2006-09-29,2
2006-10-05,1
2006-10-08,1
2006-10-09,1
2006-10-12,2
2006-10-16,1
2006-10-27,2
2006-10-30,1
2006-11-02,2
2006-11-03,1
2006-11-06,1
2006-11-07,2
2006-11-08,1
2006-11-13,3
2006-11-16,1
2006-11-17,1
2006-11-20,1
2006-11-24,1
2006-11-29,1
2006-12-02,1
2006-12-04,1
2006-12-07,2
2006-12-09,1
2006-12-10,1
2006-12-11,2
2006-12-18,1
2007-01-02,1
2007-01-05,1
2007-01-08,1
2007-01-09,1
2007-01-10,2
2007-01-11,1
2007-01-12,2
2007-01-16,1
2007-01-18,2
2007-01-23,1
2007-01-26,2
2007-01-29,1
2007-01-30,1
2007-02-05,1
2007-02-08,1
2007-02-09,1
2007-02-12,1
2007-02-14,2
2007-02-15,1
2007-02-27,1
2007-02-28,2
2007-03-08,1
2007-03-12,1
2007-03-13,1
2007-03-14,1
2007-03-16,2
2007-03-19,2
2007-03-20,2
2007-03-21,1
2007-03-22,1
2007-03-23,1
2007-03-26,1
2007-03-30,2
2007-04-03,1
2007-04-04,2
2007-04-05,1
2007-04-10,1
2007-04-12,2
2007-04-13,3
2007-04-16,1
2007-04-17,1
2007-04-18,1
2007-04-21,1
2007-04-23,1
2007-04-25,3
2007-04-26,1
2007-04-27,2
2007-04-28,1
2007-04-30,3
2007-05-10,1
2007-05-11,1
2007-05-14,1
2007-05-15,1
2007-05-16,1
2007-05-17,1
2007-05-18,2
2007-05-24,2
2007-05-26,1
2007-05-28,2
2007-05-29,2
2007-06-02,1
2007-06-04,3
2007-06-06,1
2007-06-09,2
2007-06-12,1
2007-06-14,1
2007-06-15,1
2007-06-16,1
2007-06-18,2
2007-06-19,1
2007-06-22,1
2007-07-02,1
2007-07-09,1
2007-07-10,2
2007-07-11,1
2007-07-12,2
2007-07-13,1
2007-07-23,1
2007-07-24,1
2007-07-25,2
2007-07-30,1
2007-07-31,1
2007-08-03,2
2007-08-05,1
2007-08-21,1
2007-08-22,2
2007-08-27,1
2007-08-28,2
2007-09-01,1
2007-09-03,1
2007-09-04,2
2007-09-06,2
2007-09-10,2
2007-09-11,1
2007-09-18,1
2007-09-20,1
2007-09-24,1
2007-10-01,3
2007-10-09,1
2007-10-11,1
2007-10-12,1
2007-10-26,1
2007-10-27,1
2007-10-29,1
2007-10-30,1
2007-11-02,3
2007-11-04,1
2007-11-05,1
2007-11-08,1
2007-11-09,1
2007-11-15,1
2007-11-22,1
2007-11-26,1
2007-11-28,1
2007-11-30,2
2007-12-05,2
2007-12-06,1
2007-12-08,1
2007-12-14,2
2007-12-17,2
2007-12-18,2
2008-01-14,1
2008-01-23,1
2008-01-25,1
2008-01-26,1
2008-02-04,1
2008-02-05,1
2008-02-06,1
2008-02-08,1
2008-02-09,1
2008-02-11,1
2008-02-12,1
2008-02-13,1
2008-02-19,1
2008-02-20,2
2008-02-21,1
2008-02-25,1
2008-02-26,1
2008-02-27,1
2008-03-03,1
2008-03-07,1
2008-03-16,1
2008-03-17,1
2008-04-03,1
2008-04-04,1
2008-04-07,1
2008-04-10,2
2008-04-14,1
2008-04-21,2
2008-04-28,2
2008-05-06,1
2008-05-09,1
2008-05-23,1
2008-05-29,1
2008-05-30,1
2008-06-09,1
2008-06-17,1
2008-06-24,1
2008-06-25,1
2008-07-03,1
2008-07-10,1
2008-07-18,1
2008-07-21,1
2008-07-22,1
2008-07-25,1
2008-07-31,1
2008-08-04,1
2008-08-06,1
2008-08-07,2
2008-08-12,1
2008-08-15,1
2008-08-18,1
2008-08-19,1
2008-08-28,1
2008-09-01,1
2008-09-05,1
2008-09-08,1
2008-09-19,1
2008-09-25,1
2008-09-26,1
2008-10-06,1
2008-10-13,1
2008-10-17,1
2008-10-28,1
2008-10-31,1
2008-11-05,1
2008-11-20,1
2008-11-24,1
2008-11-27,1
2008-12-03,1
2008-12-04,1
2008-12-11,1
2008-12-15,2
2008-12-17,1
2008-12-18,1
2008-12-22,1
2009-01-12,1
2009-01-13,1
2009-02-10,1
2009-02-11,1
2009-02-17,1
2009-03-04,1
2009-03-10,1
2009-03-19,1
2009-04-17,1
2009-04-20,1
2009-04-21,1
2009-04-27,1
2009-04-30,1
2009-05-05,1
2009-05-19,1
