Date,sampleSize
2004-12-13,1
2005-07-03,1
2005-07-19,1
2005-08-25,1
2005-09-20,1
2005-09-22,1
2005-09-27,1
2005-10-08,1
2005-10-25,1
2005-11-07,1
2005-11-14,1
2005-12-08,1
2005-12-15,1
2005-12-19,1
2006-01-05,1
2006-01-17,1
2006-01-19,1
2006-02-06,1
2006-02-13,1
2006-02-14,1
2006-02-22,2
2006-03-06,1
2006-03-18,1
2006-03-28,1
2006-04-03,1
2006-04-04,1
2006-04-19,1
2006-04-20,1
2006-04-25,1
2006-05-16,1
2006-05-19,1
2006-05-22,1
2006-05-24,1
2006-06-02,1
2006-06-14,2
2006-06-21,1
2006-06-28,2
2006-07-10,1
2006-07-18,1
2006-08-10,2
2006-08-23,1
2006-08-24,2
2006-08-30,1
2006-09-04,1
2006-09-10,1
2006-09-13,1
2006-09-18,1
2006-09-19,2
2006-09-20,1
2006-09-21,1
2006-09-29,1
2006-10-04,2
2006-10-05,2
2006-10-06,1
2006-10-08,1
2006-10-12,1
2006-10-18,1
2006-10-24,1
2006-11-02,1
2006-11-10,1
2006-11-20,1
2006-11-21,1
2006-11-22,1
2006-11-28,1
2006-11-30,1
2006-12-06,1
2006-12-08,1
2006-12-09,1
2006-12-13,2
2006-12-20,1
2006-12-22,1
2007-01-12,2
2007-01-19,1
2007-01-20,1
2007-01-24,1
2007-02-08,3
2007-02-16,1
2007-02-19,1
2007-02-20,1
2007-02-21,1
2007-02-23,1
2007-02-28,1
2007-03-09,1
2007-03-12,1
2007-03-14,1
2007-03-26,1
2007-03-29,1
2007-04-10,1
2007-04-13,1
2007-04-26,1
2007-05-04,1
2007-05-07,1
2007-05-12,1
2007-05-15,1
2007-05-21,1
2007-05-22,2
2007-06-01,1
2007-06-04,1
2007-06-11,1
2007-06-26,1
2007-06-28,1
2007-06-29,1
2007-07-06,1
2007-07-12,1
2007-07-19,1
2007-08-02,2
2007-08-03,1
2007-08-08,1
2007-08-15,1
2007-08-16,2
2007-08-18,1
2007-08-21,1
2007-08-22,1
2007-08-27,1
2007-08-28,1
2007-09-11,1
2007-09-20,1
2007-09-22,1
2007-09-26,1
2007-10-24,1
2007-10-29,1
2007-10-30,1
2007-10-31,1
2007-11-03,1
2007-11-05,1
2007-11-06,1
2007-11-15,2
2007-12-01,1
2007-12-03,2
2007-12-04,1
2007-12-06,2
2007-12-11,2
2007-12-13,1
2007-12-14,1
2007-12-20,1
2008-01-11,1
2008-01-16,1
2008-01-30,1
2008-02-08,1
2008-02-12,1
2008-02-13,1
2008-03-11,1
2008-03-13,1
2008-03-18,1
2008-03-27,2
2008-03-31,2
2008-04-08,1
2008-05-05,1
2008-05-20,1
2008-06-13,1
2008-06-30,1
2008-08-05,1
2008-08-12,1
2008-08-21,1
2008-08-25,1
2008-10-28,1
2008-11-21,1
2009-01-20,1
2009-02-19,1
2009-03-04,1
