Time	Mean	Median	Upper	Lower
2019.0	25.267863757042328	24.78330384867299	119.48047551680705	4.9708286124683285
2018.0	62.39852453830916	61.02800275662319	129.16165003108608	32.62188736534823
2017.0	524.6146977016923	520.1892445682482	744.9433984339893	382.1911310993647
2016.0	2366.947781558868	2356.638364679302	3297.6933651629747	1756.7230838940184
2015.0	5015.337775529586	4974.340888445321	7525.118714296058	3356.9943631236893
2014.0	4370.930565767862	4348.455879044182	6092.158975053416	3100.9834412440878
2013.0	7562.262408689601	7509.910829794892	11631.773374111463	5039.319371841037
2012.0	8236.970101115818	8180.566276953859	12160.245705022335	5504.504295021302
2011.0	17532.975310788057	17142.477266168877	33039.94608074848	9561.992544743178
2010.0	31120.194874289056	30373.668997558572	74368.27019426192	13887.283793371382
2009.0	47882.737228876715	45976.84207389286	124902.44590591814	19476.828081389234
2008.0	80442.67861999701	78170.06584321283	238429.762096787	28154.030056030788
2007.0	137777.56590247693	131898.61350539	448109.39791128924	44981.29289690072
2006.0	174371.20136111183	167919.21357010156	609750.1362356357	53685.855703205096
2005.0	168602.50533582468	161048.0531882329	591595.9772459556	48036.75201302206
2004.0	141075.95856632132	135336.76302905957	480629.62755445286	42240.18521761744
2003.0	98834.65675686512	94774.12423340154	314508.55547727173	30907.941722235006
2002.0	57162.4522205127	55115.498154104	163939.83347916455	21086.315337778862
2001.0	32005.17275596291	30806.360596879706	82337.08675000141	12565.8835296471
2000.0	18219.31653808326	17500.59339453169	46215.05083582576	8312.417358445178
1999.0	10213.407930138996	9933.350545401901	22229.087581802512	5086.467201754386
1998.0	5509.3023147525555	5342.68416756932	10947.490880269646	2997.1834402339628
1997.0	3272.512275481868	3181.14097668747	5663.134045942495	1873.0090950495294
1996.0	1995.486746593933	1950.894666108897	3389.0751364198	1248.8873196685568
1995.0	1164.8205719994075	1148.3332639264831	1761.4427313884678	775.4389189825505
1994.0	654.8853621242175	647.331849517736	946.5704461080676	458.92907877886245
1993.0	406.74268412861363	402.4058632066565	599.9001965537713	286.3766733021151
1992.0	393.1216396266268	387.19342440349146	623.7327766577447	255.47132823848867
1991.0	443.0597883791571	434.3366425948124	776.4220916068414	257.0416198012981
1990.0	390.9746715015357	382.0545876655819	772.3056613432542	203.88120699533738
1989.0	216.4233600326409	208.10162629030788	510.77281814205475	102.20089152546781
1988.0	150.92834790225956	141.04428277663848	372.52370702873077	69.21712203617764
1987.0	143.18331738844793	139.84174178722603	314.99713799790055	67.5167779771082
1986.0	112.35577169982842	109.33744858031275	260.5322468615575	52.8165292631368
1985.0	119.60570713980249	116.14033067931658	287.1044207547141	51.4055985823241
1984.0	119.2004366558012	115.25326539841588	318.86746299413244	44.68649571837427
1983.0	91.29229531325718	88.25023252126697	254.44873463420416	35.42417947768371
1982.0	90.61077630023685	87.15202560224454	257.3361565152047	31.80379227235035
1981.0	116.19649535985454	111.41299832650523	384.90689321204457	36.258618983734635
1980.0	133.1177142796393	127.13411554511784	491.57879946642555	37.812020210365226
