Date,sampleSize
2005-03-08,1
2005-03-21,1
2005-04-15,1
2005-04-21,2
2005-05-26,2
2005-06-24,1
2005-07-14,1
2005-07-22,1
2005-07-29,1
2005-08-07,1
2005-08-24,1
2005-08-26,1
2005-10-14,2
2005-12-01,1
2005-12-09,2
2006-01-11,1
2006-01-17,2
2006-01-30,1
2006-02-02,1
2006-02-14,1
2006-02-20,3
2006-02-27,1
2006-04-13,1
2006-04-19,1
2006-04-21,2
2006-04-25,1
2006-04-27,1
2006-05-03,2
2006-05-09,2
2006-06-02,1
2006-06-10,1
2006-06-13,2
2006-06-20,1
2006-07-02,1
2006-07-05,1
2006-07-07,1
2006-07-12,1
2006-07-17,2
2006-07-18,1
2006-07-24,2
2006-08-07,1
2006-08-18,2
2006-09-04,1
2006-09-06,1
2006-09-20,1
2006-09-25,1
2006-10-03,1
2006-10-10,1
2006-10-16,2
2006-10-18,1
2006-10-24,1
2006-10-26,1
2006-11-06,1
2006-11-08,1
2006-11-09,2
2006-11-16,1
2006-11-21,1
2006-12-04,1
2006-12-07,1
2006-12-08,2
2007-01-03,1
2007-01-05,1
2007-01-08,1
2007-01-12,1
2007-01-16,1
2007-01-25,1
2007-01-31,2
2007-02-14,1
2007-02-16,1
2007-02-19,3
2007-02-23,1
2007-03-01,1
2007-03-04,1
2007-03-07,1
2007-03-09,1
2007-03-17,1
2007-03-20,1
2007-03-23,1
2007-03-24,1
2007-03-26,1
2007-03-28,1
2007-04-04,1
2007-04-05,1
2007-04-10,1
2007-04-12,1
2007-04-16,1
2007-04-23,2
2007-05-02,1
2007-05-06,2
2007-05-07,1
2007-05-16,1
2007-05-25,1
2007-06-04,1
2007-06-05,1
2007-06-08,1
2007-06-26,2
2007-06-27,1
2007-06-29,2
2007-07-04,1
2007-07-11,2
2007-07-13,1
2007-07-17,1
2007-07-23,4
2007-07-24,1
2007-08-07,1
2007-08-24,1
2007-08-27,1
2007-08-28,1
2007-08-31,1
2007-09-05,1
2007-09-14,1
2007-09-18,1
2007-09-24,1
2007-09-25,1
2007-09-26,1
2007-09-27,1
2007-10-02,1
2007-10-07,1
2007-10-08,1
2007-10-16,1
2007-10-19,1
2007-10-31,1
2007-11-06,1
2007-11-07,1
2007-11-08,1
2007-11-09,2
2007-11-13,1
2007-11-14,1
2007-11-15,1
2007-11-16,1
2007-11-20,1
2007-11-21,1
2007-11-26,2
2007-11-28,1
2007-11-30,1
2007-12-07,1
2007-12-11,1
2008-01-09,1
2008-01-10,1
2008-01-12,1
2008-01-14,1
2008-01-21,2
2008-01-28,1
2008-01-29,1
2008-02-01,1
2008-02-04,1
2008-02-05,2
2008-02-07,1
2008-02-19,1
2008-02-20,1
2008-02-25,3
2008-02-28,2
2008-03-05,1
2008-03-11,1
2008-03-20,1
2008-03-26,1
2008-03-31,2
2008-04-02,1
2008-04-04,1
2008-04-08,1
2008-04-23,4
2008-04-28,1
2008-05-05,1
2008-05-09,1
2008-05-14,1
2008-05-26,1
2008-06-02,1
2008-06-06,2
2008-06-08,1
2008-06-10,1
2008-06-16,1
2008-06-20,2
2008-06-25,1
2008-06-30,1
2008-07-04,1
2008-07-10,1
2008-07-11,1
2008-07-15,1
2008-07-18,2
2008-07-21,1
2008-07-23,1
2008-07-25,1
2008-07-29,2
2008-08-05,1
2008-08-07,1
2008-08-12,2
2008-08-14,1
2008-08-19,1
2008-08-21,1
2008-08-22,1
2008-08-25,2
2008-08-29,1
2008-09-02,1
2008-09-15,1
2008-09-29,1
2008-09-30,1
2008-10-01,1
2008-10-17,1
2008-10-28,1
2008-11-03,1
2008-11-07,1
2008-11-08,2
2008-11-10,4
2008-11-19,1
2008-11-21,1
2008-12-03,1
2008-12-10,1
2009-01-13,1
2009-01-14,1
2009-01-16,1
2009-01-19,1
2009-01-22,1
2009-02-05,1
2009-02-06,1
2009-02-07,2
2009-02-19,1
2009-02-23,1
2009-02-24,2
2009-02-27,1
2009-03-03,2
2009-03-19,1
2009-03-23,1
2009-03-24,1
2009-03-26,1
2009-04-01,1
2009-04-02,2
2009-04-07,1
2009-04-08,2
2009-04-14,1
2009-04-15,2
2009-04-17,2
2009-04-22,2
2009-04-27,1
2009-04-30,1
2009-05-08,1
2009-05-10,1
2009-05-13,2
2009-05-14,1
2009-05-25,1
2009-06-08,1
2009-06-16,2
2009-06-17,1
2009-06-18,1
2009-06-25,1
2009-07-03,1
2009-07-12,1
2009-07-13,2
2009-07-15,1
2009-07-17,1
2009-07-20,1
2009-07-23,1
2009-07-29,1
2009-08-03,1
2009-08-05,1
2009-08-06,1
2009-08-10,1
2009-08-18,1
2009-08-19,1
2009-08-26,1
2009-08-27,1
2009-08-28,2
2009-08-31,3
2009-09-04,1
2009-09-17,1
2009-09-22,1
2009-09-23,1
2009-09-25,1
2009-10-06,1
2009-10-19,1
2009-10-21,1
2009-10-22,2
2009-10-23,1
2009-10-27,1
2009-10-28,1
2009-11-03,2
2009-11-05,2
2009-11-06,2
2009-11-16,1
2009-11-17,1
2009-11-19,1
2009-11-20,1
2009-11-23,1
2009-11-25,1
2009-12-04,1
2009-12-14,1
2009-12-15,2
2009-12-16,1
2009-12-18,1
2009-12-30,1
2010-01-02,1
2010-01-05,1
2010-01-06,2
2010-01-07,1
2010-01-08,2
2010-01-12,1
2010-01-13,3
2010-01-14,2
2010-01-15,2
2010-01-18,2
2010-01-19,2
2010-01-20,2
2010-01-21,1
2010-01-22,1
2010-01-25,3
2010-01-28,1
2010-01-29,1
2010-01-30,1
2010-02-02,2
2010-02-03,1
2010-02-04,2
2010-02-07,1
2010-02-08,3
2010-02-10,1
2010-02-11,1
2010-02-15,3
2010-02-16,7
2010-02-17,2
2010-02-18,4
2010-02-22,1
2010-02-23,1
2010-02-24,1
2010-02-25,2
2010-02-26,1
2010-03-02,1
2010-03-03,1
2010-03-04,1
2010-03-08,1
2010-03-09,1
2010-03-10,1
2010-03-11,1
2010-03-15,1
2010-03-16,1
2010-03-17,5
2010-03-18,3
2010-03-19,1
2010-03-22,4
2010-03-23,1
2010-03-25,4
2010-03-29,2
2010-03-31,3
2010-04-01,1
2010-04-03,1
2010-04-07,3
2010-04-08,2
2010-04-12,1
2010-04-13,1
2010-04-14,7
2010-04-15,4
2010-04-16,4
2010-04-19,3
2010-04-20,2
2010-04-21,3
2010-04-22,2
2010-04-26,3
2010-04-27,2
2010-04-28,2
2010-04-29,3
2010-04-30,1
2010-05-03,1
2010-05-04,1
2010-05-07,3
2010-05-10,2
2010-05-11,1
2010-05-12,2
2010-05-13,3
2010-05-14,1
2010-05-18,3
2010-05-19,1
2010-05-24,2
2010-05-25,1
2010-05-26,1
2010-05-27,2
2010-05-28,2
2010-05-31,3
2010-06-02,2
2010-06-04,2
2010-06-07,1
2010-06-10,1
2010-06-11,1
2010-06-14,1
2010-06-15,6
2010-06-16,1
2010-06-17,1
2010-06-18,2
2010-06-21,1
2010-06-22,5
2010-06-24,2
2010-06-25,1
2010-06-28,2
2010-06-30,3
2010-07-01,2
2010-07-02,1
2010-07-05,2
2010-07-09,1
2010-07-12,1
2010-07-13,1
2010-07-14,1
2010-07-15,2
2010-07-20,5
2010-07-22,2
2010-07-23,1
2010-07-27,3
2010-07-28,3
2010-07-29,4
2010-07-30,2
2010-08-02,2
2010-08-03,3
2010-08-04,1
2010-08-06,1
2010-08-09,1
2010-08-10,2
2010-08-11,1
2010-08-12,1
2010-08-13,2
2010-08-16,2
2010-08-17,2
2010-08-18,1
2010-08-24,2
2010-08-25,3
2010-08-26,1
2010-08-31,3
2010-09-01,1
2010-09-02,1
2010-09-04,1
2010-09-07,3
2010-09-08,1
2010-09-13,2
2010-09-15,1
2010-09-16,1
2010-09-23,1
2010-09-27,2
2010-09-28,1
2010-09-29,1
2010-09-30,1
2010-10-03,3
2010-10-05,1
2010-10-06,5
2010-10-07,1
2010-10-11,5
2010-10-12,3
2010-10-13,4
2010-10-14,1
2010-10-15,1
2010-10-19,3
2010-10-22,2
2010-10-26,1
2010-10-27,2
2010-11-01,2
2010-11-03,1
2010-11-04,1
2010-11-05,2
2010-11-08,1
2010-11-09,1
2010-11-10,2
2010-11-11,2
2010-11-12,1
2010-11-17,4
2010-11-18,1
2010-11-22,2
2010-11-24,1
2010-12-01,1
2010-12-03,1
2010-12-04,1
2010-12-05,1
2010-12-07,1
2010-12-09,1
2010-12-13,1
2010-12-20,1
2010-12-21,3
2010-12-22,2
2011-01-03,3
2011-01-04,4
2011-01-06,1
2011-01-07,3
2011-01-10,1
2011-01-11,1
2011-01-12,3
2011-01-13,5
2011-01-14,1
2011-01-17,1
2011-01-18,3
2011-01-19,2
2011-01-21,1
2011-01-24,4
2011-01-27,1
2011-01-28,1
2011-01-31,3
2011-02-01,2
2011-02-03,2
2011-02-08,2
2011-02-10,3
2011-02-11,1
2011-02-14,2
2011-02-15,2
2011-02-16,2
2011-02-17,1
2011-02-22,1
2011-02-24,3
2011-02-25,1
2011-02-28,2
2011-03-01,1
2011-03-02,1
2011-03-03,1
2011-03-07,2
2011-03-09,1
2011-03-11,1
2011-03-14,2
2011-03-16,1
2011-03-17,4
2011-03-18,2
2011-03-21,1
2011-03-22,2
2011-03-23,1
2011-03-24,1
2011-03-28,3
2011-03-29,2
2011-03-31,2
2011-04-01,1
2011-04-04,1
2011-04-05,2
2011-04-06,1
2011-04-07,1
2011-04-08,2
2011-04-11,1
2011-04-12,3
2011-04-13,1
2011-04-15,1
2011-04-18,1
2011-04-20,1
2011-04-21,2
2011-04-26,3
2011-04-27,3
2011-04-29,1
2011-05-04,6
2011-05-06,2
2011-05-09,1
2011-05-11,2
2011-05-12,1
2011-05-13,2
2011-05-16,1
2011-05-17,1
2011-05-24,1
2011-05-25,2
2011-05-30,1
2011-05-31,2
2011-06-06,1
2011-06-07,2
2011-06-09,1
2011-06-10,2
2011-06-20,1
2011-06-21,2
2011-06-23,1
2011-06-27,1
2011-06-29,1
2011-06-30,3
2011-07-04,3
2011-07-05,3
2011-07-11,1
2011-07-12,2
2011-07-14,4
2011-07-15,2
2011-07-18,3
2011-07-19,1
2011-07-20,3
2011-07-21,1
2011-07-23,1
2011-07-25,2
2011-07-26,1
2011-07-27,2
2011-07-29,1
2011-07-30,1
2011-08-01,1
2011-08-02,2
2011-08-04,3
2011-08-05,1
2011-08-07,1
2011-08-08,3
2011-08-10,1
2011-08-15,1
2011-08-18,3
2011-08-22,1
2011-08-25,2
2011-09-07,1
2011-09-08,1
2011-09-09,2
2011-09-14,2
2011-09-20,1
2011-09-21,1
2011-09-27,1
2011-09-28,1
2011-09-30,3
2011-10-01,2
2011-10-04,1
2011-10-07,1
2011-10-12,1
2011-10-13,1
2011-10-14,1
2011-10-19,1
2011-10-24,1
2011-10-25,1
2011-10-27,1
2011-10-31,1
2011-11-01,1
2011-11-08,1
2011-11-10,1
2011-11-18,1
2011-11-29,1
2011-12-05,1
2011-12-06,1
2011-12-09,1
2011-12-19,1
2012-01-04,1
2012-01-06,1
2012-01-09,1
2012-01-12,1
2012-01-13,1
2012-01-16,1
2012-01-17,1
2012-01-23,2
2012-01-30,1
2012-02-10,1
2012-02-21,1
2012-03-05,1
2012-03-15,1
2012-03-30,1
2012-04-10,1
2012-04-27,1
