Date,sampleSize
2016-07-06,1
2016-07-07,5
2016-07-08,2
2016-07-11,2
2016-07-12,13
2016-07-13,1
2016-07-14,5
2016-07-15,2
2016-07-18,3
2016-07-19,7
2016-07-20,2
2016-07-21,7
2016-07-22,4
2016-07-25,4
2016-07-26,6
2016-07-27,1
2016-07-28,12
2016-07-29,1
2016-08-02,10
2016-08-03,3
2016-08-04,5
2016-08-05,3
2016-08-08,4
2016-08-09,10
2016-08-15,3
2016-08-16,4
2016-08-17,1
2016-08-18,7
2016-08-19,6
2016-08-22,2
2016-08-23,4
2016-08-24,1
2016-08-25,2
2016-08-26,1
2016-08-29,5
2016-08-30,5
2016-08-31,3
2016-09-01,5
2016-09-02,3
2016-09-05,4
2016-09-06,3
2016-09-07,1
2016-09-08,3
2016-09-09,2
2016-09-12,3
2016-09-14,6
2016-09-15,6
2016-09-16,3
2016-09-19,5
2016-09-21,1
2016-09-22,5
2016-09-23,1
2016-09-26,4
2016-09-27,3
2016-09-28,3
2016-09-29,4
2016-09-30,5
2016-10-03,7
2016-10-04,7
2016-10-05,3
2016-10-06,4
2016-10-10,5
2016-10-11,4
2016-10-12,5
2016-10-13,9
2016-10-14,2
2016-10-17,3
2016-10-19,2
2016-10-20,7
2016-10-21,2
2016-10-25,5
2016-10-26,2
2016-10-27,5
2016-10-28,1
2016-10-31,3
2016-11-01,5
2016-11-02,2
2016-11-03,4
2016-11-04,2
2016-11-07,2
2016-11-08,5
2016-11-09,4
2016-11-10,9
2016-11-11,4
2016-11-14,5
2016-11-15,1
2016-11-16,1
2016-11-17,10
2016-11-18,1
2016-11-21,6
2016-11-22,7
2016-11-23,3
2016-11-24,5
2016-11-25,4
2016-11-28,4
2016-11-29,7
2016-11-30,2
2016-12-01,4
2016-12-02,2
2016-12-05,4
2016-12-06,7
2016-12-07,1
2016-12-08,4
2016-12-09,2
2016-12-12,1
2016-12-13,3
2016-12-14,2
2016-12-15,4
2016-12-16,1
2016-12-19,2
2016-12-20,4
2017-01-09,1
2017-01-10,4
2017-01-11,1
2017-01-12,3
2017-01-16,1
2017-01-17,4
2017-01-18,1
2017-01-19,1
2017-01-20,4
2017-01-23,2
2017-01-24,3
2017-01-25,3
2017-01-26,3
2017-01-31,3
2017-02-01,10
2017-02-02,7
2017-02-03,2
2017-02-06,3
2017-02-07,2
2017-02-08,3
2017-02-09,7
2017-02-10,3
2017-02-13,6
2017-02-14,1
2017-02-15,2
2017-02-16,5
2017-02-20,7
2017-02-21,2
2017-02-22,4
2017-02-23,2
2017-02-24,1
2017-02-27,1
2017-02-28,5
2017-03-01,2
2017-03-06,4
2017-03-07,5
2017-03-09,2
2017-03-10,5
2017-03-14,8
2017-03-16,4
2017-03-20,6
2017-03-21,3
2017-03-22,1
2017-03-23,6
2017-03-27,13
2017-03-28,8
2017-03-29,3
2017-03-30,4
2017-04-03,4
2017-04-04,6
2017-04-05,2
2017-04-06,3
2017-04-07,1
2017-04-10,2
2017-04-11,5
2017-04-12,4
2017-04-13,3
2017-04-18,3
2017-04-19,3
2017-04-20,1
2017-04-21,3
2017-04-24,1
2017-04-25,3
2017-04-26,1
2017-04-27,8
2017-04-28,1
2017-05-02,2
2017-05-04,3
2017-05-05,2
