Date,sampleSize
2000-01-08,1
2016-07-20,2
2016-07-21,2
2016-07-25,6
2016-07-26,2
2016-07-27,4
2016-07-29,3
2016-08-02,8
2016-08-03,1
2016-08-04,2
2016-08-05,5
2016-08-08,5
2016-08-09,12
2016-08-10,5
2016-08-15,8
2016-08-16,5
2016-08-17,2
2016-08-18,3
2016-08-19,7
2016-08-22,9
2016-08-23,9
2016-08-24,5
2016-08-25,7
2016-08-26,2
2016-08-29,6
2016-08-30,4
2016-08-31,4
2016-09-01,4
2016-09-02,6
2016-09-05,6
2016-09-06,4
2016-09-07,4
2016-09-08,2
2016-09-09,6
2016-09-12,5
2016-09-14,7
2016-09-15,5
2016-09-19,6
2016-09-20,4
2016-09-21,6
2016-09-22,6
2016-09-23,3
2016-09-26,14
2016-09-27,17
2016-09-28,4
2016-09-29,3
2016-09-30,6
2016-10-03,3
2016-10-04,8
2016-10-05,9
2016-10-06,9
2016-10-07,5
2016-10-10,5
2016-10-11,4
2016-10-12,12
2016-10-13,1
2016-10-14,5
2016-10-17,6
2016-10-19,12
2016-10-20,6
2016-10-25,11
2016-10-26,5
2016-10-27,11
2016-10-31,4
2016-11-01,7
2016-11-02,1
2016-11-03,3
2016-11-04,2
2016-11-07,7
2016-11-08,12
2016-11-09,16
2016-11-10,7
2016-11-11,4
2016-11-14,9
2016-11-15,5
2016-11-16,7
2016-11-17,3
2016-11-18,3
2016-11-21,5
2016-11-22,3
2016-11-23,8
2016-11-24,4
2016-11-25,6
2016-11-28,10
2016-11-29,7
2016-11-30,5
2016-12-01,2
2016-12-02,3
2016-12-05,4
2016-12-06,5
2016-12-07,3
2016-12-08,6
2016-12-09,4
2016-12-12,9
2016-12-13,4
2016-12-14,6
2016-12-15,1
2016-12-16,2
2016-12-19,4
2016-12-20,6
2016-12-21,5
2017-01-04,4
2017-01-05,3
2017-01-06,7
2017-01-09,4
2017-01-10,4
2017-01-11,2
2017-01-12,6
2017-01-13,2
2017-01-16,5
2017-01-17,4
2017-01-18,9
2017-01-19,7
2017-01-20,9
2017-01-23,10
2017-01-24,12
2017-01-25,5
2017-01-26,5
2017-01-27,1
2017-01-30,8
2017-01-31,9
2017-02-01,7
2017-02-02,9
2017-02-03,5
2017-02-06,4
2017-02-07,12
2017-02-08,9
2017-02-09,7
2017-02-13,5
2017-02-14,9
2017-02-15,11
2017-02-16,4
2017-02-17,6
2017-02-20,6
2017-02-21,8
2017-02-22,6
2017-02-23,7
2017-02-24,1
2017-02-27,6
2017-02-28,6
2017-03-01,2
2017-03-02,8
2017-03-03,1
2017-03-06,3
2017-03-07,3
2017-03-09,10
2017-03-10,6
2017-03-14,5
2017-03-15,10
2017-03-16,6
2017-03-17,3
2017-03-20,6
2017-03-21,4
2017-03-22,9
2017-03-23,2
2017-03-24,6
2017-03-27,6
2017-03-28,5
2017-03-29,11
2017-03-30,1
2017-03-31,6
2017-04-03,13
2017-04-04,4
2017-04-05,5
2017-04-06,3
2017-04-07,2
2017-04-10,6
2017-04-11,8
2017-04-12,2
2017-04-13,3
2017-04-18,6
2017-04-19,8
2017-04-20,12
2017-04-21,8
2017-04-24,10
2017-04-25,11
2017-04-26,6
2017-04-27,4
2017-04-28,6
2017-05-02,9
2017-05-03,4
2017-05-04,6
2017-05-08,3
2017-05-09,8
2017-05-10,6
2017-05-11,5
2017-05-15,7
2017-05-16,3
2017-05-17,4
2017-05-18,1
2017-05-19,2
2017-05-22,7
2017-05-23,7
2017-05-24,2
2017-05-26,5
2017-05-29,2
2017-05-30,5
2017-05-31,5
2017-06-01,1
2017-06-05,4
2017-06-06,2
2017-06-07,7
2017-06-08,2
2017-06-09,9
2017-06-12,10
2017-06-13,3
2017-06-14,4
2017-06-15,2
2017-06-19,2
2017-06-20,3
2017-06-21,4
2017-06-22,3
2017-06-23,2
2017-06-26,1
2017-06-27,2
2017-06-28,1
2017-06-29,1
2017-06-30,4
2017-07-05,6
2017-07-06,4
2017-07-07,1
2017-07-10,5
2017-07-11,2
2017-07-12,5
2017-07-13,4
2017-07-14,4
2017-07-17,2
2017-07-18,3
2017-08-24,4
2017-08-25,1
2017-08-28,1
2017-08-29,3
2017-08-30,8
2017-08-31,1
2017-09-01,1
2017-09-04,6
2017-09-06,1
2017-09-11,5
2017-09-12,5
2017-09-13,1
2017-09-14,3
2017-09-15,4
2017-09-18,4
2017-09-19,8
2017-09-20,5
2017-09-21,3
2017-09-25,3
