Date,sampleSize
2016-07-26,1
2016-07-27,5
2016-07-28,6
2016-07-29,2
2016-08-02,12
2016-08-03,3
2016-08-04,7
2016-08-05,3
2016-08-08,2
2016-08-10,1
2016-08-15,4
2016-08-16,5
2016-08-17,4
2016-08-18,4
2016-08-19,1
2016-08-22,2
2016-08-23,1
2016-08-24,3
2016-08-25,9
2016-08-26,1
2016-08-29,2
2016-08-30,1
2016-09-01,8
2016-09-02,1
2016-09-05,2
2016-09-06,6
2016-09-07,4
2016-09-08,7
2016-09-12,2
2016-09-14,6
2016-09-15,12
2016-09-19,8
2016-09-20,5
2016-09-21,2
2016-09-22,6
2016-09-26,2
2016-09-27,8
2016-09-28,1
2016-09-29,2
2016-09-30,1
2016-10-03,9
2016-10-04,3
2016-10-05,5
2016-10-06,12
2016-10-07,1
2016-10-10,4
2016-10-11,8
2016-10-12,2
2016-10-13,9
2016-10-17,2
2016-10-19,11
2016-10-20,8
2016-10-25,4
2016-10-26,6
2016-10-27,10
2016-10-28,1
2016-10-31,1
2016-11-01,2
2016-11-03,10
2016-11-04,1
2016-11-07,1
2016-11-08,3
2016-11-09,6
2016-11-10,13
2016-11-14,1
2016-11-15,6
2016-11-16,3
2016-11-17,6
2016-11-21,4
2016-11-22,6
2016-11-23,7
2016-11-24,10
2016-11-25,1
2016-11-28,2
2016-11-29,3
2016-11-30,6
2016-12-05,2
2016-12-06,1
2016-12-07,2
2016-12-08,4
2016-12-12,1
2016-12-13,5
2016-12-14,4
2016-12-15,10
2016-12-16,3
2016-12-19,4
2016-12-20,1
2017-01-05,6
2017-01-09,2
2017-01-10,2
2017-01-11,2
2017-01-12,5
2017-01-13,1
2017-01-16,2
2017-01-17,3
2017-01-18,1
2017-01-19,10
2017-01-20,1
2017-01-23,2
2017-01-24,4
2017-01-25,4
2017-01-26,9
2017-01-30,4
2017-01-31,2
2017-02-02,5
2017-02-06,3
2017-02-07,7
2017-02-08,2
2017-02-09,9
2017-02-13,1
2017-02-14,3
2017-02-15,1
2017-02-16,6
2017-02-21,7
2017-02-23,6
2017-02-27,5
2017-02-28,1
2017-03-01,2
2017-03-02,10
2017-03-03,2
2017-03-06,2
2017-03-07,4
2017-03-09,11
2017-03-10,1
2017-03-14,2
2017-03-15,4
2017-03-16,2
2017-03-20,5
2017-03-21,1
2017-03-22,3
2017-03-23,12
2017-03-24,1
2017-03-27,5
2017-03-28,5
2017-03-30,7
2017-03-31,2
2017-04-03,1
2017-04-04,1
2017-04-05,2
2017-04-06,6
2017-04-10,2
2017-04-11,2
2017-04-13,9
2017-04-18,2
2017-04-19,2
2017-04-20,6
2017-04-21,2
2017-04-24,2
2017-04-25,4
2017-04-26,1
2017-04-27,9
2017-05-02,1
2017-05-04,2
2017-05-05,2
2017-05-08,3
2017-05-09,2
2017-05-11,10
2017-05-12,2
2017-05-15,1
2017-05-16,3
2017-05-17,2
2017-05-18,1
2017-05-19,2
2017-05-22,2
2017-05-23,3
2017-05-24,2
2017-05-26,5
2017-05-30,3
2017-06-01,7
2017-06-06,4
2017-06-07,3
2017-06-08,18
2017-06-09,2
2017-06-12,2
2017-06-15,4
2017-06-16,1
2017-06-19,1
2017-06-20,4
2017-06-21,4
2017-06-22,3
2017-06-26,1
2017-06-27,4
2017-06-28,8
2017-06-29,10
2017-06-30,4
2017-07-06,4
2017-07-10,4
2017-07-11,2
2017-07-12,1
2017-07-13,7
2017-07-17,2
2017-07-18,2
2017-08-31,3
2017-09-01,1
2017-09-04,2
2017-09-05,4
2017-09-06,1
2017-09-07,5
2017-09-08,2
2017-09-11,5
2017-09-15,1
2017-09-18,4
2017-09-19,4
2017-09-20,5
2017-09-22,3
2017-09-25,1
2017-09-26,2
2017-09-27,4
2017-09-28,2
2017-10-02,1
2017-10-03,5
2017-10-04,2
2017-10-05,4
2017-10-06,1
2017-10-09,4
2017-10-10,2
2017-10-11,3
2017-10-12,2
2017-10-16,8
2017-10-17,3
2017-10-19,3
2017-10-23,2
2017-10-25,4
2017-10-26,2
2017-10-27,1
2017-10-30,3
2017-10-31,5
2017-11-01,2
2017-11-02,1
2017-11-03,1
2017-11-06,5
2017-11-07,3
2017-11-09,3
2017-11-13,4
2017-11-14,1
2017-11-16,1
2017-11-17,1
2017-11-20,1
2017-11-21,3
2017-11-22,5
2017-11-23,4
2017-11-27,1
2017-11-28,5
2017-11-29,1
2017-11-30,1
2017-12-01,6
2017-12-04,4
2017-12-05,4
2017-12-06,4
2017-12-07,4
2017-12-08,1
2017-12-11,1
2017-12-12,3
2017-12-13,4
2017-12-18,3
2017-12-19,1
2017-12-20,5
2017-12-21,1
2017-12-26,3
2018-01-04,3
2018-01-08,3
2018-01-09,4
2018-01-10,4
2018-01-11,1
2018-01-12,2
2018-01-15,2
2018-01-16,7
2018-01-17,2
2018-01-18,1
2018-01-22,9
2018-01-23,6
2018-01-29,1
2018-01-30,4
2018-01-31,2
2018-02-02,1
2018-02-05,3
2018-02-06,2
2018-02-07,1
2018-02-08,2
2018-02-09,2
2018-02-12,1
2018-02-13,3
2018-02-15,1
2018-02-19,7
2018-02-20,4
2018-02-21,3
2018-02-22,1
2018-02-26,5
2018-02-27,1
2018-02-28,5
2018-03-01,2
2018-03-02,2
2018-03-05,1
2018-03-06,7
