Time	Mean	Median	Upper	Lower
2019.0	23304.899442338152	22696.53209026889	94789.89757187702	6041.602794140688
2018.0	22913.978495174808	22289.84927875017	70607.19776355512	8071.39344761231
2017.0	19904.606860530395	19411.766624914137	42736.072488828795	9526.475730298951
2016.0	13279.478188539373	13111.784474227868	21824.831904291816	8204.331815032678
2015.0	7820.732692878603	7800.114473269381	10506.131270253742	5925.080301306937
2014.0	11944.218117736315	11883.802776865878	16472.29984007315	8748.582599535705
2013.0	20730.005165795716	20578.790491022883	30665.424471475635	14423.385712738158
2012.0	20722.57481522318	20625.724252412747	29271.851867307712	14734.68566438088
2011.0	24644.931531409155	24495.49438761965	35959.16593590796	17331.07710660134
2010.0	31003.83852516638	30880.319880298837	45085.75467940191	21812.388387267205
2009.0	30905.033524664494	30617.862206553964	46399.937093942506	21124.492149027636
2008.0	32177.391641012793	31947.91529045806	48414.04706009649	20762.552126198574
2007.0	29719.380230483977	29378.1095987043	46027.34706628968	19690.341968843433
2006.0	25418.88638311066	25201.02717805426	39062.44866596666	17289.625297354145
2005.0	25450.171715982146	25228.724638036547	38580.79906320405	16975.300171568822
2004.0	29530.808246626206	29159.02704352752	47284.331312754824	19359.624936406068
2003.0	31476.14869997238	31155.535952716546	50722.666492998476	19937.64226296974
2002.0	31798.192893457945	31578.406600545786	50854.426995824826	20181.875569669104
2001.0	33787.50910544194	33252.987533456355	54841.13895676073	21424.945728985767
2000.0	35837.971602265905	35539.75853080705	58522.14092190531	21934.7934571076
1999.0	37403.65689435666	37054.957225784776	62843.2675044341	23023.638528608986
1998.0	41334.223177981694	40865.31726768994	69860.71445757065	24989.926735145265
1997.0	42993.34707526932	42530.80120525408	73570.13022318845	24530.124675671133
1996.0	34552.717785836976	33928.199737477196	59053.197127018764	20692.24307430601
1995.0	19752.10922522679	19500.452651141797	32696.222286676693	12124.211206457985
1994.0	9723.760114991195	9626.582808530236	14796.396396111748	6308.373797945335
1993.0	6421.444972856003	6342.083656883812	9472.19020805482	4416.812042970616
1992.0	4773.857068686248	4728.5775883084425	6862.112826877769	3339.9497268390355
1991.0	3397.1905253245045	3359.484288947426	4735.7819253727685	2477.4605428037826
1990.0	2290.7186409625856	2273.3474334657612	3192.6442918061066	1688.0585653543778
1989.0	1215.5254861591175	1211.0368911121316	1585.0588004718513	920.42673998314
1988.0	853.4040605629998	850.1597623046067	1119.8807244560037	643.9445164805824
1987.0	673.2515644461839	669.0757855057424	919.5900592191334	499.7795804013323
1986.0	519.9855533463872	516.681273291276	721.697107024147	365.24554048869777
1985.0	386.1388169076379	385.6935086720965	542.8264083847148	267.9792679451203
1984.0	301.09994205718084	297.5379164168507	469.2681442240853	203.0998497152286
1983.0	245.12242418931734	243.88860563539274	387.81811898155416	160.7060466866403
1982.0	178.13053288634012	176.92135352478186	269.2502193888517	115.63869665400627
1981.0	183.20987478460953	182.27506754135933	297.5137579069548	111.50181139152944
1980.0	165.72391741012896	164.90412343121238	281.50689710679364	98.90525371695486
