Date,sampleSize
2010-01-04,1
2010-01-12,2
2010-01-20,1
2010-01-25,2
2010-01-28,1
2010-01-29,1
2010-02-02,1
2010-02-03,2
2010-02-05,1
2010-02-08,2
2010-02-09,1
2010-02-10,1
2010-02-16,1
2010-02-17,1
2010-03-11,1
2010-03-15,1
2010-03-16,1
2010-03-19,1
2010-03-22,2
2010-03-24,1
2010-03-25,1
2010-03-26,1
2010-03-29,2
2010-03-30,1
2010-03-31,2
2010-04-02,1
2010-04-10,1
2010-04-15,1
2010-04-20,1
2010-04-21,1
2010-04-23,1
2010-04-28,1
2010-04-30,1
2010-05-03,1
2010-05-04,1
2010-05-06,1
2010-05-11,1
2010-05-13,1
2010-05-14,2
2010-05-31,1
2010-06-02,1
2010-06-03,1
2010-06-04,2
2010-06-07,2
2010-06-08,2
2010-06-10,1
2010-06-11,2
2010-06-14,1
2010-06-15,2
2010-06-16,1
2010-06-17,1
2010-06-21,2
2010-06-23,1
2010-06-24,1
2010-06-25,1
2010-06-28,2
2010-06-30,2
2010-07-02,3
2010-07-05,2
2010-07-06,2
2010-07-08,1
2010-07-09,1
2010-07-12,1
2010-07-14,1
2010-07-15,3
2010-07-16,1
2010-07-20,2
2010-07-21,4
2010-07-22,2
2010-07-23,4
2010-07-26,2
2010-07-27,2
2010-07-28,3
2010-07-29,5
2010-07-30,4
2010-08-02,1
2010-08-03,3
2010-08-04,1
2010-08-05,4
2010-08-07,1
2010-08-09,1
2010-08-10,2
2010-08-11,1
2010-08-12,1
2010-08-16,2
2010-08-17,1
2010-08-18,3
2010-08-19,1
2010-08-20,2
2010-08-23,5
2010-08-24,2
2010-08-25,1
2010-09-01,1
2010-09-03,2
2010-09-06,2
2010-09-08,3
2010-09-09,2
2010-09-12,1
2010-09-16,1
2010-09-20,2
2010-09-21,2
2010-09-24,1
2010-09-27,3
2010-09-28,3
2010-09-29,3
2010-09-30,1
2010-10-01,1
2010-10-04,6
2010-10-12,1
2010-10-13,1
2010-10-14,1
2010-10-15,1
2010-10-18,1
2010-10-19,1
2010-10-20,1
2010-10-26,1
2010-10-29,1
2010-11-01,1
2010-11-02,1
2010-11-03,1
2010-11-04,2
2010-11-05,1
2010-11-08,1
2010-11-09,3
2010-11-15,2
2010-11-18,1
2010-11-23,1
2010-11-24,1
2010-11-26,1
2010-11-29,1
2010-12-03,1
2010-12-06,2
2010-12-07,1
2010-12-09,2
2010-12-11,1
2010-12-13,1
2010-12-14,1
2010-12-15,2
2011-01-10,1
2011-01-12,1
2011-01-14,2
