Date,Central_Mean,Central_Median,Central_Upper,Central_Lower,Copperbelt_Mean,Copperbelt_Median,Copperbelt_Upper,Copperbelt_Lower,Southern_Mean,Southern_Median,Southern_Upper,Southern_Lower
2020,21937.0731,21703.0363,71317.4475,7287.2481,22996.9678,22720.0969,60604.5768,8909.6445,28975.0818,28326.7400,89831.3046,9763.6208
2019,22350.8042,21944.4042,40151.8643,12833.1630,44662.7696,44130.7383,69223.5964,27857.1682,39551.1785,39232.8579,70729.9266,22338.2227
2018,31194.9438,30843.0380,52711.2091,19355.5117,60666.3703,60087.6528,92793.9522,40950.3967,59774.8217,58703.9879,109131.2173,34542.1212
2017,26267.5408,25936.5517,43584.6488,16105.9606,64950.5300,64221.8279,104353.3193,39305.3920,45019.2533,44476.8121,76538.6333,26270.6898
2016,29816.5725,29240.5705,51607.5938,17021.4772,49369.9505,48931.9104,79227.2118,31649.2997,42804.5649,42091.1422,76925.7975,25365.6070
2015,37717.5990,36802.8513,69070.0287,20217.8620,61294.0659,60286.5291,104046.7305,36206.7618,47617.4409,46688.3521,86908.7219,27054.6066
2014,28131.6751,27718.4347,49990.4841,16034.2049,68579.6072,67143.9578,122659.9375,40024.0147,44627.8839,43989.8878,83287.5576,25841.8578
2013,24466.1067,24084.9347,43270.1901,14359.4758,66013.7437,65322.6686,116455.6982,38083.1708,42151.0782,41267.2045,80752.9262,23582.1782
2012,33880.3416,33274.9013,65910.6936,18481.4143,68811.1921,68078.3040,123855.5568,39618.8108,41140.4572,40529.2705,75981.2064,22161.4367
2011,46275.8440,45415.0637,96984.4729,23920.2114,83436.3150,81948.4900,155937.3355,46372.9832,43724.6827,43080.0916,82984.8341,24418.3932
2010,51037.3960,49969.0054,108795.3377,26048.4393,84164.4991,83242.5095,158067.3599,45896.2901,54641.4825,53871.0364,101509.1665,27389.5228
2009,50310.1189,49468.2853,103142.2226,24916.7217,71516.8593,70498.7616,124254.1532,38303.6366,56631.9093,55600.9454,112125.0272,28837.4703
