Date,Mean,Central_Upper,Central_Lower,Copperbelt_Upper,Copperbelt_Lower,Southern_Upper,Southern_Lower,Cohort
2020,22996.9678,,,60604.5768,8909.6445,,,Popart-Zambia-Copperbelt
2019,44662.7696,,,69223.5964,27857.1682,,,Popart-Zambia-Copperbelt
2018,60666.3703,,,92793.9522,40950.3967,,,Popart-Zambia-Copperbelt
2017,64950.53,,,104353.3193,39305.392,,,Popart-Zambia-Copperbelt
2016,49369.9505,,,79227.2118,31649.2997,,,Popart-Zambia-Copperbelt
2015,61294.0659,,,104046.7305,36206.7618,,,Popart-Zambia-Copperbelt
2014,68579.6072,,,122659.9375,40024.0147,,,Popart-Zambia-Copperbelt
2013,66013.7437,,,116455.6982,38083.1708,,,Popart-Zambia-Copperbelt
2012,68811.1921,,,123855.5568,39618.8108,,,Popart-Zambia-Copperbelt
2011,83436.315,,,155937.3355,46372.9832,,,Popart-Zambia-Copperbelt
2010,84164.4991,,,158067.3599,45896.2901,,,Popart-Zambia-Copperbelt
2009,71516.8593,,,124254.1532,38303.6366,,,Popart-Zambia-Copperbelt
2008,77441.72,,,144353.6496,43571.4409,,,Popart-Zambia-Copperbelt
2007,86602.7662,,,160682.5521,46891.5418,,,Popart-Zambia-Copperbelt
2006,98232.4639,,,193878.5414,51860.5897,,,Popart-Zambia-Copperbelt
2005,99853.3481,,,202141.6208,52966.2531,,,Popart-Zambia-Copperbelt
2004,91432.9528,,,184117.7327,47674.1459,,,Popart-Zambia-Copperbelt
2003,80704.0309,,,161767.2747,42478.9309,,,Popart-Zambia-Copperbelt
2002,72601.2137,,,142186.403,37280.5329,,,Popart-Zambia-Copperbelt
2001,61752.5595,,,123054.4567,33385.0028,,,Popart-Zambia-Copperbelt
2000,43628.5869,,,82883.9371,23382.7058,,,Popart-Zambia-Copperbelt
1999,25117.3632,,,46388.6762,14239.0122,,,Popart-Zambia-Copperbelt
1998,14144.5907,,,23255.0058,8351.3676,,,Popart-Zambia-Copperbelt
1997,9270.9197,,,15496.6488,5932.7183,,,Popart-Zambia-Copperbelt
1996,7328.9752,,,11422.8434,4821.1556,,,Popart-Zambia-Copperbelt
1995,5822.3894,,,9013.9861,3837.4404,,,Popart-Zambia-Copperbelt
1994,3811.7901,,,5683.5753,2598.4625,,,Popart-Zambia-Copperbelt
1993,2248.6143,,,3093.2911,1607.1619,,,Popart-Zambia-Copperbelt
1992,1454.8165,,,1982.4771,1079.3656,,,Popart-Zambia-Copperbelt
1991,814.379,,,1105.0769,595.7274,,,Popart-Zambia-Copperbelt
1990,346.8222,,,464.178,254.3226,,,Popart-Zambia-Copperbelt
1989,150.9992,,,203.9152,110.0979,,,Popart-Zambia-Copperbelt
1988,79.3057,,,117.9364,53.6655,,,Popart-Zambia-Copperbelt
1987,73.3791,,,123.2312,44.3043,,,Popart-Zambia-Copperbelt
1986,59.467,,,109.0807,32.7576,,,Popart-Zambia-Copperbelt
1985,50.7051,,,106.0474,24.5939,,,Popart-Zambia-Copperbelt
1984,37.3132,,,85.1134,17.0187,,,Popart-Zambia-Copperbelt
1983,32.6492,,,78.1659,13.9408,,,Popart-Zambia-Copperbelt
1982,46.2334,,,137.3491,17.8817,,,Popart-Zambia-Copperbelt
1981,58.5772,,,166.3098,19.9034,,,Popart-Zambia-Copperbelt
2020,21937.0731,71317.4475,7287.2481,,,,,Popart-Zambia-Central
2019,22350.8042,40151.8643,12833.163,,,,,Popart-Zambia-Central
2018,31194.9438,52711.2091,19355.5117,,,,,Popart-Zambia-Central
2017,26267.5408,43584.6488,16105.9606,,,,,Popart-Zambia-Central
2016,29816.5725,51607.5938,17021.4772,,,,,Popart-Zambia-Central
2015,37717.599,69070.0287,20217.862,,,,,Popart-Zambia-Central
2014,28131.6751,49990.4841,16034.2049,,,,,Popart-Zambia-Central
2013,24466.1067,43270.1901,14359.4758,,,,,Popart-Zambia-Central
2012,33880.3416,65910.6936,18481.4143,,,,,Popart-Zambia-Central
2011,46275.844,96984.4729,23920.2114,,,,,Popart-Zambia-Central
2010,51037.396,108795.3377,26048.4393,,,,,Popart-Zambia-Central
2009,50310.1189,103142.2226,24916.7217,,,,,Popart-Zambia-Central
2008,49389.3522,104780.2227,24187.8383,,,,,Popart-Zambia-Central
2007,45721.3596,94833.6324,22076.371,,,,,Popart-Zambia-Central
2006,52320.1769,110819.3389,24229.219,,,,,Popart-Zambia-Central
2005,65637.8316,149308.8776,29630.9591,,,,,Popart-Zambia-Central
2004,61608.9052,143296.3233,27938.784,,,,,Popart-Zambia-Central
2003,44058.301,94984.7352,21030.8399,,,,,Popart-Zambia-Central
2002,37568.1697,78219.8044,18338.5223,,,,,Popart-Zambia-Central
2001,37897.2985,82664.4004,18183.3049,,,,,Popart-Zambia-Central
2000,30466.589,63581.6848,14420.7887,,,,,Popart-Zambia-Central
1999,20307.6577,39750.2509,10247.8425,,,,,Popart-Zambia-Central
1998,13962.4968,26577.3639,7275.5633,,,,,Popart-Zambia-Central
1997,9067.4289,17093.0557,5112.5247,,,,,Popart-Zambia-Central
1996,5655.011,9528.9471,3259.495,,,,,Popart-Zambia-Central
1995,3977.8841,6642.7557,2528.934,,,,,Popart-Zambia-Central
1994,2676.6232,4346.0974,1740.2471,,,,,Popart-Zambia-Central
1993,1542.2991,2323.2006,1053.5266,,,,,Popart-Zambia-Central
1992,828.6717,1168.6885,607.6703,,,,,Popart-Zambia-Central
1991,441.4475,639.5177,303.8793,,,,,Popart-Zambia-Central
1990,193.8866,271.1887,138.2703,,,,,Popart-Zambia-Central
1989,81.9321,130.072,53.7527,,,,,Popart-Zambia-Central
1988,42.9297,66.4438,27.2213,,,,,Popart-Zambia-Central
1987,37.3066,68.7539,20.5563,,,,,Popart-Zambia-Central
1986,21.3543,46.2427,10.162,,,,,Popart-Zambia-Central
